id,code,nom,categorie_produit,categorie_cifsc,gestionnaire,couverture_devises,actif_net,r_dda,r_1an,r_3ans,r_5ans,r_10ans
1,010,Actions nord-américaines (iA),Fonds d'actions canadiennes,Actions principalement canadiennes,iA Gestion mondiale d'actifs,Sans couverture,"154,4 million",5.97,17.71,15.37,13.32,7.29
2,020,Obligations (iA),Fonds de revenu,Revenu fixe canadien,iA Gestion mondiale d'actifs,Couverture active,"4 026,0 million",0.46,4.17,2.55,-2.01,0.19
3,021,Obligations de sociétés canadiennes (iA),Fonds de revenu,Revenu fixe de sociétés canadiennes,iA Gestion mondiale d'actifs,Couverture active,"1 806,3 million",1.17,6.13,4.34,-0.31,0.95
4,040,Diversifié (iA),Fonds diversifiés,Équilibré canadien neutre,iA Gestion mondiale d'actifs,Couverture active,"2 275,2 million",3.63,11.55,8.39,5.7,3.78
5,070,Marché monétaire (iA),Fonds de revenu,Marché monétaire canadien,iA Gestion mondiale d'actifs,Couverture active,"928,7 million",0.92,2.44,2.81,1.72,1.07
6,081,Spécialisés Revenu à taux variable (Loomis Sayles),Fonds de revenu,Prêts à taux variable,"Loomis, Sayles & Company",Couverture totale,"54,2 million",-1.76,0.73,2.27,1.52,1.25
7,082,Fidelity Vision stratégique,Fonds d'actions américaines et internationales,Actions américaines,Fidelity Investments,Sans couverture,"928,1 million",5.01,16.99,26.48,14.66,
8,084,Marchés émergents (Jarislowsky Fraser),Fonds spécialisés,Actions de marchés émergents,Jarislowsky Fraser Limitée,Couverture active,"44,0 million",6.08,12.78,7.16,2.45,
9,085,Infrastructures mondiales (Dynamique),Fonds spécialisés,Actions d’infrastructures mondiales,Fonds Dynamique,Couverture active,"114,3 million",9.17,22.13,6.74,6.88,6.22
10,134,Actions mondiales de dividendes (iA),Fonds d'actions américaines et internationales,Actions mondiales,iA Gestion mondiale d'actifs,"Sans couverture, mais peut couvrir de façon opportuniste","202,5 million",0.33,10.8,,,
11,154,Opportunités mondiales (Loomis Sayles),Fonds d'actions américaines et internationales,Actions mondiales,"Loomis, Sayles & Company",Sans couverture,"516,6 million",-2.0,6.3,18.14,9.64,
12,170,Obligations court terme (iA),Fonds de revenu,Revenu fixe canadien à court terme,iA Gestion mondiale d'actifs,Couverture active,"393,2 million",1.36,4.65,3.02,0.26,0.38
13,180,Indiciel américain (BlackRock),Fonds d'actions américaines et internationales,Actions américaines,BlackRock,Sans couverture,"1 431,8 million",-0.71,11.49,18.42,13.31,11.33
14,222,Spécialisés Fidelity Titres américains à rendement élevé - Devises neutres,Fonds de revenu,Revenu fixe à rendement élevé,Fidelity Investments,Couverture totale,"147,1 million",3.1,7.34,6.96,4.19,2.54
15,233,Innovation thématique (iA),Fonds d'actions américaines et internationales,Actions américaines,iA Gestion mondiale d'actifs,Sans couverture,"1 377,7 million",1.27,12.66,20.51,13.28,
16,240,Diversifié sécurité (iA),Fonds diversifiés,Revenu fixe canadien équilibré,iA Gestion mondiale d'actifs,Couverture active,"542,9 million",2.11,8.08,5.64,2.0,1.88
17,250,Diversifié opportunité (iA),Fonds diversifiés,Actions canadiennes équilibrées,iA Gestion mondiale d'actifs,Couverture active,"874,8 million",4.65,14.01,9.9,8.02,4.73
18,270,Frontière Nord MD Fidelity,Fonds d'actions canadiennes,Actions canadiennes,Fidelity Investments,Sans couverture,"492,5 million",9.12,19.18,13.17,12.3,7.69
19,280,Potentiel Canada Fidelity,Fonds d'actions canadiennes,Actions canadiennes,Fidelity Investments,Sans couverture,"1 930,1 million",3.14,9.2,14.14,13.74,10.08
20,290,Actions Europe Fidelity,Fonds d'actions américaines et internationales,Actions européennes,Fidelity Investments,Sans couverture,"102,0 million",11.85,14.57,14.45,7.57,3.59
21,300,Indiciel international (BlackRock),Fonds d'actions américaines et internationales,Actions internationales,BlackRock,Sans couverture,"420,8 million",12.29,14.35,15.16,8.39,4.78
22,310,Indiciel américain DAQ (iA),Fonds spécialisés,Actions américaines,iA Gestion mondiale d'actifs,Sans couverture,"2 729,6 million",1.22,12.27,24.87,14.77,16.39
23,358,Actions mondiales de valeur opportuniste (Wellington),Fonds d'actions américaines et internationales,Actions mondiales,Wellington Management,Défensive,"222,4 million",2.2,11.28,12.25,,
24,361,Croissance et revenu mondiaux (iA),Fonds diversifiés,Équilibrés mondiaux neutres,iA Gestion mondiale d'actifs,Variable,"16,0 million",0.87,8.05,,,
25,362,Indexia obligations (iA),Fonds Indexia,Revenu fixe canadien,BlackRock,s.o.,"17,7 million",0.46,4.89,,,
26,363,Indexia actions canadiennes (iA),Fonds Indexia,Actions canadiennes,BlackRock,s.o.,"4,4 million",8.97,24.92,,,
27,364,Indexia actions américaines (iA),Fonds Indexia,Actions américaines,iA Gestion mondiale d'actifs,Sans couverture,"7,0 million",-1.36,10.78,,,
28,365,Indexia actions mondiales (iA),Fonds Indexia,Actions mondiales,TD,Sans couverture,"5,4 million",2.25,13.35,,,
29,401,Allocation d'actifs mondiaux sécurité (iA),Fonds diversifiés,Équilibré mondial à revenu fixe,iA Gestion mondiale d'actifs,Couverture active,"78,5 million",2.13,7.85,5.5,2.29,
30,402,Allocation d'actifs mondiaux (iA),Fonds diversifiés,Équilibrés mondiaux neutres,iA Gestion mondiale d'actifs,Couverture active,"171,7 million",3.31,10.3,8.64,5.21,
31,403,Allocation d'actifs mondiaux opportunité (iA),Fonds diversifiés,Équilibrés mondiaux d'actions,iA Gestion mondiale d'actifs,Couverture active,"67,9 million",4.6,12.33,10.74,7.46,
32,464,Actions canadiennes - croissance (iA),Fonds d'actions canadiennes,Actions canadiennes,iA Gestion mondiale d'actifs,Couverture active,"1 354,6 million",8.55,21.31,13.69,13.81,7.84
33,470,Soins de santé mondiaux (Renaissance),Fonds spécialisés,Actions sectorielles,Gestion d’actifs CIBC,Sans couverture,"275,4 million",-7.98,-3.22,1.64,0.3,2.58
34,474,Indiciel canadien (iA),Fonds d'actions canadiennes,Actions canadiennes,iA Gestion mondiale d'actifs,s.o.,"1 091,7 million",7.96,22.77,12.29,11.81,7.05
35,502,Revenu immobilier (iA),Fonds spécialisés,Actions de l’immobilier,iA Gestion mondiale d'actifs,s.o.,"137,2 million",6.65,11.39,2.07,4.81,3.4
36,505,Asie pacifique (iA),Fonds spécialisés,Actions de l’Asie-Pacifique,iA Gestion mondiale d'actifs,Sans couverture,"206,3 million",6.57,13.6,10.73,4.27,5.71
37,515,Dividendes croissance (iA),Fonds d'actions canadiennes,Actions canadiennes de dividendes et de revenu,iA Gestion mondiale d'actifs,Couverture active,"1 857,2 million",5.67,18.31,10.21,12.1,7.34
38,516,Actions revenu stratégique (iA),Fonds d'actions canadiennes,Actions canadiennes de dividendes et de revenu,iA Gestion mondiale d'actifs,Couverture active,"265,8 million",7.14,16.99,9.39,11.17,6.21
39,517,Fidelity Étoile du Nord MD,Fonds d'actions américaines et internationales,Actions mondiales à petite et moyenne capitalisation,Fidelity Investments,Sans couverture,"210,6 million",4.34,12.78,15.75,10.71,6.04
40,518,Dividendes croissance américains (iA),Fonds d'actions américaines et internationales,Actions américaines,iA Gestion mondiale d'actifs,Couverture active,"611,5 million",-1.2,11.21,15.23,12.83,8.66
41,530,Diversifié mondial (Loomis Sayles),Fonds diversifiés,Équilibrés mondiaux d'actions,"Loomis, Sayles & Company",Revenu fixe (couverture active) / Actions (sans couverture),"1 901,3 million",-0.34,6.43,13.19,6.24,6.81
42,532,Dividende mondial (Dynamique),Fonds d'actions américaines et internationales,Actions mondiales,Fonds Dynamique,"Sans couverture, mais peut couvrir de façon opportuniste","1 444,0 million",1.02,6.98,9.29,5.41,8.46
43,541,Actions canadiennes à petite capitalisation (QV),Fonds d'actions canadiennes,Actions canadiennes à petite et moyenne capitalisation,QV Investors Inc.,Sans couverture,"234,0 million",9.1,17.24,14.35,15.35,7.06
44,579,Actions mondiales Conviction (iA),Fonds d'actions américaines et internationales,Actions mondiales,iA Gestion mondiale d'actifs,Sans couverture,"208,6 million",5.72,15.07,17.31,11.36,7.56
45,604,Portefeuille géré de revenu fixe (iA),Fonds de revenu,Revenu fixe mondial,iA Gestion mondiale d'actifs,Variable,"327,1 million",1.98,4.29,2.51,-0.09,
46,605,Obligations mondiales multisectorielles (Loomis Sayles),Fonds de revenu,Revenu fixe multisectorielle,"Loomis, Sayles & Company",Couverture totale,"46,2 million",2.72,6.19,2.73,-0.13,
47,606,Fidelity Actions d'innovation et Obligations multisectorielles,Fonds diversifiés,Équilibrés mondiaux d'actions,Fidelity Investments,Partiellement sans couverture,"221,1 million",3.24,11.7,18.48,,
48,607,Fidelity Innovations mondiales MC,Fonds spécialisés,Actions mondiales,Fidelity Investments,Sans couverture,"971,2 million",3.02,16.59,29.9,18.13,
49,705,Actions américaines (iA),Fonds d'actions américaines et internationales,Actions américaines,iA Gestion mondiale d'actifs,Sans couverture,"186,4 million",-1.01,12.56,16.35,12.36,8.7
50,706,Actions internationales (iA),Fonds d'actions américaines et internationales,Actions internationales,iA Gestion mondiale d'actifs,"Sans couverture, mais peut couvrir de façon opportuniste","571,0 million",12.91,17.07,17.18,8.16,5.25
51,707,Actions mondiales (iA),Fonds d'actions américaines et internationales,Actions mondiales,iA Gestion mondiale d'actifs,"Sans couverture, mais peut couvrir de façon opportuniste","350,3 million",1.97,14.01,17.85,11.68,8.0
52,761,Stratégie revenu (iA),Fonds diversifiés,Équilibré canadien neutre,iA Gestion mondiale d'actifs,Couverture active,"639,2 million",5.22,12.28,6.97,7.8,4.74
53,762,Spécialisés Stratégie d'obligations de sociétés (iA),Fonds de revenu,Revenu fixe à rendement élevé,iA Gestion mondiale d'actifs,Couverture active,"400,2 million",1.73,5.52,5.31,4.21,2.75
54,816,Focus prudent (iA),Fonds Focus,Équilibrés mondiaux d'actions,iA Gestion mondiale d'actifs,Variable,"320,2 million",2.0,7.21,5.98,2.2,1.99
55,817,Focus modéré (iA),Fonds Focus,Équilibrés mondiaux d'actions,iA Gestion mondiale d'actifs,Variable,"437,6 million",3.09,9.23,7.92,4.14,2.96
56,818,Focus équilibré (iA),Fonds Focus,Équilibrés mondiaux d'actions,iA Gestion mondiale d'actifs,Variable,"681,9 million",3.79,10.88,9.66,6.06,3.86
57,819,Focus croissance (iA),Fonds Focus,Équilibrés mondiaux d'actions,iA Gestion mondiale d'actifs,Variable,"256,4 million",4.68,12.71,11.46,7.8,4.69
58,820,Focus audacieux (iA),Fonds Focus,Équilibrés mondiaux d'actions,iA Gestion mondiale d'actifs,Variable,"85,5 million",5.54,14.57,13.25,9.58,5.55
59,870,Actions canadiennes à petite capitalisation (iA),Fonds d'actions canadiennes,Actions canadiennes à petite et moyenne capitalisation,iA Gestion mondiale d'actifs,Sans couverture,"189,9 million",10.36,18.81,,,
60,876,Indiciel mondial tous pays (BlackRock),Fonds d'actions américaines et internationales,Actions mondiales,BlackRock,Sans couverture,"245,0 million",3.14,12.79,16.59,10.57,8.08
61,893,Revenu fixe mondial (PIMCO),Fonds de revenu,Revenu fixe multisectorielle,PIMCO,Couverture active,"1 106,9 million",3.41,5.62,4.41,1.79,1.84
62,913,Indexia prudent (iA),Fonds Indexia,Équilibré mondial à revenu fixe,iA Gestion mondiale d'actifs,s.o.,"216,6 million",2.46,7.91,6.26,1.84,2.5
